epoch,accuracy,loss,val_accuracy,val_loss
0,0.6160295009613037,0.6475583910942078,0.6742627620697021,0.601850688457489
1,0.7211602926254272,0.552449643611908,0.7298927903175354,0.5373578667640686
2,0.7783367037773132,0.4607509672641754,0.7600536346435547,0.5087372660636902
3,0.8076794147491455,0.40475064516067505,0.8310992121696472,0.37446409463882446
4,0.8497652411460876,0.34521186351776123,0.7915549874305725,0.46944326162338257
5,0.8604962825775146,0.3251461684703827,0.8116621971130371,0.4294012784957886
6,0.8633467555046082,0.31222373247146606,0.8646112680435181,0.3076701760292053
7,0.8888329863548279,0.2653759717941284,0.8793565630912781,0.27679577469825745
8,0.8997316956520081,0.24389593303203583,0.8867292404174805,0.2646288573741913
9,0.9059355854988098,0.2289644479751587,0.8907506465911865,0.24833902716636658
10,0.9052649140357971,0.2298363298177719,0.8431635499000549,0.38173359632492065
11,0.898725688457489,0.24457284808158875,0.8894101977348328,0.253579318523407
12,0.9305834770202637,0.17474648356437683,0.9081769585609436,0.22542758285999298
13,0.9361166954040527,0.1593700796365738,0.9068364500999451,0.24063846468925476
14,0.9344399571418762,0.16182532906532288,0.890080451965332,0.28968867659568787
15,0.9325955510139465,0.1642497330904007,0.9115281701087952,0.2259891927242279
16,0.9572434425354004,0.12100647389888763,0.919571042060852,0.21878686547279358
17,0.9637826681137085,0.10384906828403473,0.9256032109260559,0.2170594483613968
18,0.9610999226570129,0.10616029053926468,0.917560338973999,0.21666760742664337
19,0.9445003271102905,0.14902402460575104,0.9121983647346497,0.2160751074552536
20,0.9548960328102112,0.12354337424039841,0.9162198305130005,0.2122231274843216
21,0.9481891393661499,0.1395377814769745,0.8887399435043335,0.2734147012233734
22,0.9570757746696472,0.11549010127782822,0.9088472127914429,0.25718605518341064
23,0.951374888420105,0.12329693138599396,0.9229222536087036,0.2100345939397812
24,0.9602615833282471,0.10016050934791565,0.9242627620697021,0.22532427310943604
25,0.9642857313156128,0.09017191082239151,0.9242627620697021,0.21718284487724304
