epoch,accuracy,loss,val_accuracy,val_loss
0,0.5209140777587891,0.6919603943824768,0.593800961971283,0.6852961778640747
1,0.5796776413917542,0.6799551248550415,0.6223490834236145,0.6726934313774109
2,0.604774534702301,0.6653244495391846,0.6280587315559387,0.6576913595199585
3,0.6523158550262451,0.6417626142501831,0.6288743615150452,0.6429394483566284
4,0.6908794045448303,0.6035973429679871,0.6753670573234558,0.6135015487670898
5,0.7184247970581055,0.5723280906677246,0.7226753830909729,0.5683475136756897
6,0.7512752413749695,0.5289900302886963,0.7365415692329407,0.5442139506340027
7,0.7829014658927917,0.484854519367218,0.7756932973861694,0.5010088682174683
8,0.8061619997024536,0.44484084844589233,0.7920065522193909,0.4573794901371002
9,0.8159559369087219,0.4186103641986847,0.7675366997718811,0.4913311302661896
10,0.826974093914032,0.3971095681190491,0.8050571084022522,0.44321027398109436
11,0.8486023545265198,0.35084232687950134,0.8401305079460144,0.3777889609336853
12,0.8681901693344116,0.32118216156959534,0.8474714756011963,0.35597267746925354
13,0.8790042996406555,0.2944096624851227,0.8556280732154846,0.3382441997528076
14,0.8859416246414185,0.2772321105003357,0.8580750226974487,0.34325242042541504
15,0.88900226354599,0.26914942264556885,0.849102795124054,0.36260268092155457
16,0.8975719213485718,0.24648217856884003,0.8711256384849548,0.3137412965297699
17,0.9202203750610352,0.21127857267856598,0.8768352270126343,0.30168381333351135
18,0.9177718758583069,0.20854413509368896,0.8784665465354919,0.29759472608566284
19,0.9283819794654846,0.19622214138507843,0.873572587966919,0.3094657063484192
20,0.916139543056488,0.204514279961586,0.8768352270126343,0.3279910981655121
21,0.9224647879600525,0.19187739491462708,0.8694943189620972,0.3384941518306732
22,0.9081820249557495,0.22128242254257202,0.8833605051040649,0.28366750478744507
23,0.9228729009628296,0.19566331803798676,0.8580750226974487,0.341657817363739
24,0.9363394975662231,0.1598711460828781,0.8849918246269226,0.28040042519569397
25,0.9504182934761047,0.1288416087627411,0.8719412684440613,0.3462763726711273
26,0.936135470867157,0.16249312460422516,0.8931484222412109,0.2804095447063446
27,0.9571515917778015,0.12423615902662277,0.8988580703735352,0.27396145462989807
28,0.9608243107795715,0.11543752998113632,0.8980424404144287,0.3015359938144684
29,0.9663333892822266,0.1003718376159668,0.901305079460144,0.29375654458999634
30,0.9691899418830872,0.08959658443927765,0.8898857831954956,0.2985657751560211
31,0.8453376889228821,0.5168835520744324,0.8368678689002991,0.4549287259578705
32,0.8328912258148193,0.39711689949035645,0.7830342650413513,0.4485204815864563
33,0.8775759935379028,0.30702710151672363,0.8205546736717224,0.3851083219051361
34,0.9092022180557251,0.24935318529605865,0.8572593927383423,0.31825584173202515
35,0.9261375069618225,0.1942148208618164,0.8784665465354919,0.28513631224632263
36,0.9449092149734497,0.15321661531925201,0.8825448751449585,0.2821473479270935
37,0.9518465399742126,0.12957176566123962,0.8955954313278198,0.2742840349674225
