Channel,Mean Acc With,Mean Acc Without,Delta
FC5,83.66078708320856,86.49437615745946,-2.833589074250895
F4,84.068881891628,86.5119375965812,-2.44305570495321
T8,84.00304247996559,85.14332294464111,-1.1402804646755271
T7,84.02211338649562,85.02582940790388,-1.003716021408266
AF4,83.8808146390048,84.85219234769994,-0.9713777086951438
P8,84.03319028424627,84.97598336802588,-0.9427930837796055
O1,84.10889059305191,84.60762453706641,-0.49873394401450355
F8,84.18230012059212,84.2985317895287,-0.1162316689365781
O2,84.25519980490208,83.99158575032887,0.2636140545732104
F7,84.29373384398572,84.00910362120598,0.2846302227797395
P7,84.45077153466504,83.13345973556106,1.317311799103976
F3,84.74776311354204,83.11829539862546,1.6294677149165722
FC6,85.45167211443186,78.95380760494031,6.497864509491549
AF3,,84.20460720856984,
