epoch,accuracy,loss,val_accuracy,val_loss
0,0.5109161138534546,0.6917887330055237,0.519575834274292,0.689887523651123
1,0.5694755911827087,0.6822770833969116,0.6329526901245117,0.6715580224990845
2,0.6251785159111023,0.660246729850769,0.6223490834236145,0.6456926465034485
3,0.664966344833374,0.6223119497299194,0.646003246307373,0.6494044661521912
4,0.6772087216377258,0.6096668839454651,0.6867862939834595,0.6022693514823914
5,0.699245035648346,0.5770224332809448,0.7259380221366882,0.5532954931259155
6,0.7661701440811157,0.5058916807174683,0.7561174631118774,0.5139005184173584
7,0.7802489399909973,0.4845169186592102,0.6990212202072144,0.5276786088943481
8,0.7378085851669312,0.5378188490867615,0.7732463479042053,0.5198533535003662
9,0.7337278127670288,0.5973419547080994,0.5073409676551819,0.9375630021095276
10,0.5205060243606567,0.7480141520500183,0.5342577695846558,0.6832115054130554
11,0.5617220997810364,0.6795281767845154,0.5497552752494812,0.6742019653320312
12,0.6213017702102661,0.6492365002632141,0.6345840096473694,0.648429274559021
13,0.6735360026359558,0.6119483113288879,0.6337683796882629,0.6904064416885376
14,0.6843501329421997,0.5997303128242493,0.6892333030700684,0.5844117403030396
15,0.7310752868652344,0.5453763604164124,0.7218596935272217,0.5648467540740967
