epoch,accuracy,loss,val_accuracy,val_loss
0,0.5453988909721375,0.6870095133781433,0.5774877667427063,0.6779836416244507
1,0.6188532710075378,0.6574946641921997,0.6109298467636108,0.6476898789405823
2,0.6670067310333252,0.6089550256729126,0.6370310187339783,0.6278654932975769
3,0.7441338300704956,0.5210705399513245,0.7471451759338379,0.5272613763809204
4,0.7882065176963806,0.4493560492992401,0.8083197474479675,0.42098748683929443
5,0.8373801112174988,0.36964890360832214,0.8246329426765442,0.3973609507083893
6,0.8588043451309204,0.33270150423049927,0.799347460269928,0.43974411487579346
7,0.8628851175308228,0.32549533247947693,0.844208836555481,0.3635368347167969
8,0.8885941505432129,0.27384570240974426,0.8287112712860107,0.38962048292160034
9,0.9002244472503662,0.2500225305557251,0.8556280732154846,0.34583011269569397
10,0.910630464553833,0.21832139790058136,0.8727569580078125,0.2971249520778656
11,0.916139543056488,0.20691481232643127,0.8768352270126343,0.2893012464046478
12,0.9045093059539795,0.23233918845653534,0.8694943189620972,0.3110555410385132
13,0.9271577000617981,0.19138535857200623,0.8352365493774414,0.3687852919101715
14,0.9177718758583069,0.19889333844184875,0.7585644125938416,0.6217849254608154
15,0.9028769731521606,0.22704201936721802,0.8898857831954956,0.27994096279144287
16,0.914507269859314,0.20316055417060852,0.8246329426765442,0.43625470995903015
17,0.934299111366272,0.16424579918384552,0.8311582207679749,0.4632619023323059
18,0.9536828994750977,0.1291515976190567,0.8703099489212036,0.3778379261493683
19,0.965313196182251,0.10326123237609863,0.8768352270126343,0.3153670132160187
20,0.9740869402885437,0.07895031571388245,0.8858075141906738,0.32389000058174133
21,0.9806162118911743,0.06450732052326202,0.8760195970535278,0.3758242428302765
22,0.9834727644920349,0.05557025596499443,0.8613376617431641,0.5101944804191589
23,0.9783717393875122,0.06665079295635223,0.8719412684440613,0.4034707546234131
24,0.9714344143867493,0.07627838104963303,0.8409461379051208,0.5557665228843689
25,0.9522546529769897,0.11584574729204178,0.8678629398345947,0.3692772388458252
26,0.9657213091850281,0.0834813341498375,0.8858075141906738,0.3512137234210968
27,0.9887778162956238,0.03719083592295647,0.8621533513069153,0.47993168234825134
28,0.9893898963928223,0.03480636700987816,0.8662316203117371,0.4758046269416809
29,0.9918383955955505,0.03057178482413292,0.8262642621994019,0.7129082083702087
30,0.9855131506919861,0.03857928141951561,0.8523654341697693,0.5489340424537659
31,0.9873495101928711,0.034131407737731934,0.8384991884231567,0.6940217614173889
