epoch,accuracy,loss,val_accuracy,val_loss
0,0.5017343163490295,0.6921934485435486,0.5432299971580505,0.688518226146698
1,0.5743725895881653,0.6784270405769348,0.6182708144187927,0.6701002717018127
2,0.6553764343261719,0.6356789469718933,0.6541598439216614,0.6340621709823608
3,0.6937359571456909,0.5950654745101929,0.6794453263282776,0.6056897640228271
4,0.7218934893608093,0.5619791150093079,0.6924959421157837,0.6050174236297607
5,0.748622715473175,0.5334164500236511,0.7226753830909729,0.5821176767349243
6,0.73944091796875,0.5456941723823547,0.7512235045433044,0.5399041771888733
7,0.7588247060775757,0.5152419209480286,0.7740619778633118,0.5141769647598267
8,0.7896347641944885,0.4826831519603729,0.6973899006843567,0.6576576828956604
9,0.7490308284759521,0.557223379611969,0.7495921850204468,0.5314892530441284
10,0.7886145710945129,0.4782911241054535,0.7977161407470703,0.4914124011993408
11,0.8128952980041504,0.4470175504684448,0.8026100993156433,0.47398945689201355
12,0.8220771551132202,0.4347602128982544,0.8189233541488647,0.441831111907959
13,0.7971842288970947,0.46994325518608093,0.7332789301872253,0.5568102598190308
14,0.6596612930297852,0.5932331681251526,0.6990212202072144,0.549733579158783
15,0.7471944689750671,0.49002912640571594,0.7398042678833008,0.5229723453521729
16,0.7349520325660706,0.5372196435928345,0.646003246307373,0.647420346736908
17,0.642725944519043,0.6448337435722351,0.6598694920539856,0.6306634545326233
18,0.6751683354377747,0.6125409007072449,0.7283849716186523,0.572864830493927
19,0.7218934893608093,0.5685775876045227,0.73001629114151,0.5847728252410889
