epoch,accuracy,loss,val_accuracy,val_loss
0,0.5162211656570435,0.6908575296401978,0.5391517281532288,0.6871817708015442
1,0.5772291421890259,0.6785076856613159,0.5293638110160828,0.6910820007324219
2,0.5982452630996704,0.6655587553977966,0.5864600539207458,0.6753438711166382
3,0.6410936713218689,0.6415632963180542,0.6500815749168396,0.6449962854385376
4,0.6800652742385864,0.6027727723121643,0.6680260896682739,0.6098982095718384
5,0.7524994611740112,0.5283687114715576,0.6231647729873657,0.7885448336601257
6,0.6590491533279419,0.6748408079147339,0.6843393445014954,0.6455999612808228
7,0.6870026588439941,0.6195124983787537,0.6924959421157837,0.6120113730430603
8,0.7206692695617676,0.5634220838546753,0.7446982264518738,0.5531659126281738
9,0.7747398614883423,0.49483951926231384,0.789559543132782,0.4785785377025604
10,0.6890430450439453,0.6261518001556396,0.5358890891075134,0.6823709607124329
11,0.5651907920837402,0.6669209599494934,0.5921696424484253,0.6963565349578857
12,0.5908998250961304,0.665087103843689,0.5815660953521729,0.6673505306243896
13,0.63211590051651,0.6446365118026733,0.646003246307373,0.6405194997787476
14,0.699245035648346,0.5946967005729675,0.6598694920539856,0.6891418695449829
15,0.708426833152771,0.600025475025177,0.710440456867218,0.6086432933807373
16,0.7298510670661926,0.564088761806488,0.7610114216804504,0.5363828539848328
