epoch,accuracy,loss,val_accuracy,val_loss
0,0.5194858312606812,0.6910306215286255,0.569331169128418,0.6871879696846008
1,0.5986533164978027,0.6749686002731323,0.5799347758293152,0.6746042370796204
2,0.6300755143165588,0.6503526568412781,0.5929853320121765,0.666780412197113
3,0.642725944519043,0.6390020251274109,0.6655791401863098,0.6226902604103088
4,0.7035298943519592,0.5899861454963684,0.6941272616386414,0.5853798985481262
5,0.7429096102714539,0.5311970114707947,0.7593801021575928,0.5150110125541687
6,0.7527035474777222,0.5244803428649902,0.7504078149795532,0.5172652006149292
7,0.7788206338882446,0.4977143704891205,0.7063621282577515,0.5937319993972778
8,0.7292389273643494,0.5755293369293213,0.73001629114151,0.5541075468063354
9,0.7753519415855408,0.5086551904678345,0.7805872559547424,0.49274712800979614
10,0.6819016337394714,0.6486893892288208,0.7373572587966919,0.5656431317329407
11,0.7374005317687988,0.5693575143814087,0.7365415692329407,0.5671429634094238
12,0.7647418975830078,0.5316520929336548,0.7642740607261658,0.5075756311416626
13,0.795960009098053,0.46662530303001404,0.809135377407074,0.45215535163879395
14,0.8128952980041504,0.4479137063026428,0.7789559364318848,0.510657012462616
15,0.803305447101593,0.4562276303768158,0.7936378717422485,0.4808582663536072
16,0.8192205429077148,0.43524911999702454,0.814029335975647,0.45071864128112793
17,0.8133034110069275,0.4468751847743988,0.7137030959129333,0.6391619443893433
18,0.759844958782196,0.5166236758232117,0.7267536520957947,0.5677345395088196
19,0.699653148651123,0.5959855914115906,0.7275693416595459,0.5668224692344666
20,0.714139997959137,0.5607246160507202,0.6786296963691711,0.5925086140632629
21,0.7443379163742065,0.5058844089508057,0.7536704540252686,0.516492486000061
22,0.770455002784729,0.5012770891189575,0.7422512173652649,0.5591697692871094
23,0.7514792680740356,0.5171884894371033,0.7389885783195496,0.5194364786148071
