epoch,accuracy,loss,val_accuracy,val_loss
0,0.5019384026527405,0.6927841901779175,0.5073409676551819,0.6915960311889648
1,0.5523362755775452,0.6853345632553101,0.5579119324684143,0.6858411431312561
2,0.5966129302978516,0.6721649765968323,0.6337683796882629,0.663919985294342
3,0.6543562412261963,0.6337317824363708,0.6370310187339783,0.6580597758293152
4,0.6927157640457153,0.5904307961463928,0.7096247673034668,0.5694651007652283
5,0.7371965050697327,0.5425726175308228,0.7161501049995422,0.5844341516494751
6,0.748622715473175,0.5368973612785339,0.7234910130500793,0.5667626857757568
7,0.7992246747016907,0.46300116181373596,0.8083197474479675,0.46276596188545227
8,0.7514792680740356,0.5824575424194336,0.7194127440452576,0.5813145041465759
9,0.6990410089492798,0.6072012782096863,0.6655791401863098,0.624589204788208
10,0.7229136824607849,0.581248939037323,0.7210440635681152,0.581108570098877
11,0.7618853449821472,0.5261920690536499,0.7773246169090271,0.5109732747077942
12,0.7990205883979797,0.4633413851261139,0.7985318303108215,0.4697491526603699
13,0.8090185523033142,0.4337818920612335,0.7691680192947388,0.5240371823310852
14,0.7857580184936523,0.49272391200065613,0.7177814245223999,0.5650954246520996
