epoch,accuracy,loss,val_accuracy,val_loss
0,0.5129565596580505,0.6919001340866089,0.5897226929664612,0.6856263875961304
1,0.5819220542907715,0.6785054206848145,0.6190864443778992,0.6709286570549011
2,0.62844318151474,0.6582990884780884,0.5995106101036072,0.6613756418228149
3,0.6578249335289001,0.6285727024078369,0.6663947701454163,0.6194915771484375
4,0.719649076461792,0.5743082761764526,0.6729200482368469,0.6056274771690369
5,0.73944091796875,0.541462242603302,0.6615008115768433,0.6155589818954468
6,0.7378085851669312,0.5316048860549927,0.7414355874061584,0.535677969455719
7,0.7875943779945374,0.4751911163330078,0.7389885783195496,0.5307967662811279
8,0.7926953434944153,0.46167832612991333,0.7430669069290161,0.5350502133369446
9,0.7933074831962585,0.45148953795433044,0.7936378717422485,0.45112836360931396
10,0.8190165162086487,0.4163932800292969,0.8026100993156433,0.43483322858810425
11,0.8402366638183594,0.37195634841918945,0.8278955817222595,0.3874845802783966
12,0.868598222732544,0.3242553472518921,0.853996753692627,0.35776466131210327
13,0.8732911944389343,0.31410855054855347,0.8580750226974487,0.33649942278862
14,0.877780020236969,0.2927221655845642,0.8425775170326233,0.3704971969127655
15,0.8875739574432373,0.26854032278060913,0.8849918246269226,0.2775685489177704
16,0.9157314896583557,0.21317560970783234,0.8874388337135315,0.27561643719673157
17,0.9024688601493835,0.2353883981704712,0.8923327922821045,0.27993419766426086
18,0.9210365414619446,0.20354516804218292,0.8833605051040649,0.2891967296600342
19,0.918179988861084,0.2046155035495758,0.8613376617431641,0.34559863805770874
20,0.9245051741600037,0.19175685942173004,0.9021207094192505,0.2500946819782257
21,0.9459294080734253,0.1489938497543335,0.9037520289421082,0.2437279373407364
22,0.9534788727760315,0.13106977939605713,0.9094616770744324,0.24545054137706757
23,0.9457253813743591,0.1456577479839325,0.8858075141906738,0.3101545572280884
24,0.9298102259635925,0.1781185269355774,0.8825448751449585,0.29387229681015015
25,0.9432768821716309,0.15438859164714813,0.9045677185058594,0.247133269906044
26,0.9610283374786377,0.11294618248939514,0.91109299659729,0.24305130541324615
27,0.9685778617858887,0.09381519258022308,0.9143556356430054,0.2409365326166153
28,0.9685778617858887,0.09839664399623871,0.9127243161201477,0.253031462430954
29,0.9530708193778992,0.1225118562579155,0.9127243161201477,0.240990549325943
30,0.9651091694831848,0.096770741045475,0.9143556356430054,0.24452435970306396
31,0.9722505807876587,0.08513034880161285,0.9168025851249695,0.24429680407047272
32,0.9736788272857666,0.08060945570468903,0.9094616770744324,0.2728845179080963
33,0.9687818884849548,0.09233825653791428,0.9053833484649658,0.2811340093612671
34,0.9461334347724915,0.14286373555660248,0.9135399460792542,0.2526783347129822
35,0.9442970752716064,0.14052261412143707,0.8580750226974487,0.4012269079685211
36,0.9287900328636169,0.17744828760623932,0.8752039074897766,0.3117069900035858
37,0.9579677581787109,0.12014895677566528,0.9200652241706848,0.22088994085788727
38,0.9642930030822754,0.10084478557109833,0.9184339046478271,0.22974902391433716
39,0.9700061082839966,0.09060413390398026,0.915986955165863,0.2375676929950714
40,0.9732707738876343,0.07996462285518646,0.9184339046478271,0.23583760857582092
41,0.9755151867866516,0.07836316525936127,0.9192495942115784,0.24133390188217163
42,0.9722505807876587,0.08004416525363922,0.9184339046478271,0.2438851147890091
43,0.9728626608848572,0.08179596066474915,0.9184339046478271,0.2529193162918091
44,0.9738828539848328,0.0793658196926117,0.8882544636726379,0.3449175953865051
45,0.916139543056488,0.20691074430942535,0.9078303575515747,0.26669564843177795
