epoch,accuracy,loss,val_accuracy,val_loss
0,0.5019384026527405,0.7040970921516418,0.5619902014732361,0.6906448602676392
1,0.5315241813659668,0.6888874769210815,0.5750407576560974,0.6888319253921509
2,0.5405019521713257,0.6873967051506042,0.5783033967018127,0.6867020130157471
3,0.5566210746765137,0.6854386925697327,0.5848287343978882,0.6844110488891602
4,0.5578453540802002,0.6836640238761902,0.5831974148750305,0.6822142601013184
5,0.5647826790809631,0.6811412572860718,0.5872756838798523,0.6793777346611023
6,0.5717200636863708,0.6785724759101868,0.5921696424484253,0.6756001710891724
7,0.5894715189933777,0.6741966605186462,0.6084828972816467,0.669950008392334
8,0.6021220088005066,0.6679589152336121,0.6353996992111206,0.6612317562103271
9,0.6249744892120361,0.6566129922866821,0.6574224829673767,0.6479090452194214
10,0.6580289602279663,0.6391657590866089,0.6843393445014954,0.6352899670600891
11,0.6739441156387329,0.6257722973823547,0.7047308087348938,0.6298142671585083
12,0.694144070148468,0.6170207262039185,0.7243067026138306,0.6230199337005615
13,0.706590473651886,0.6069142818450928,0.7398042678833008,0.6206464171409607
14,0.7231177091598511,0.5967147946357727,0.7357259392738342,0.6217381358146667
15,0.7253621816635132,0.5956256985664368,0.7332789301872253,0.6204981803894043
16,0.7355641722679138,0.5869415402412415,0.7357259392738342,0.6177604794502258
17,0.7331156730651855,0.5833238959312439,0.7487764954566956,0.614143431186676
18,0.7408692240715027,0.5820474624633789,0.7553017735481262,0.6082344651222229
19,0.7459701895713806,0.579650342464447,0.7585644125938416,0.6063010096549988
20,0.7473984956741333,0.5745376348495483,0.7618270516395569,0.6029760837554932
21,0.7490308284759521,0.573824405670166,0.765089750289917,0.6003320813179016
22,0.7553560733795166,0.5677867531776428,0.7634584307670593,0.5983072519302368
23,0.759844958782196,0.563426673412323,0.7626427412033081,0.5959558486938477
24,0.7555601000785828,0.5602988600730896,0.7577487826347351,0.5956112146377563
25,0.7604570388793945,0.5564997792243958,0.7626427412033081,0.5905550122261047
26,0.7582126259803772,0.5543266534805298,0.7659053802490234,0.5824152231216431
27,0.759436845779419,0.5525239109992981,0.76998370885849,0.5794692039489746
28,0.7643337845802307,0.5504657626152039,0.7732463479042053,0.5782297253608704
29,0.7690267562866211,0.5481162667274475,0.7724306583404541,0.5745131969451904
30,0.7702509760856628,0.545539140701294,0.7756932973861694,0.5704825520515442
31,0.7720873355865479,0.542112410068512,0.7789559364318848,0.5641776919364929
32,0.7737196683883667,0.5345723032951355,0.7789559364318848,0.5616991519927979
33,0.7714751958847046,0.5341053009033203,0.7805872559547424,0.5591886639595032
34,0.7780044674873352,0.531705379486084,0.7781403064727783,0.5548900961875916
35,0.7735155820846558,0.5308157205581665,0.7838498950004578,0.5527411103248596
36,0.7794327735900879,0.5262079238891602,0.789559543132782,0.5500487685203552
37,0.7790246605873108,0.5228098630905151,0.7903752326965332,0.5428813695907593
38,0.7831054925918579,0.5200812816619873,0.7920065522193909,0.5401564240455627
39,0.7820852994918823,0.5164690017700195,0.7862969040870667,0.5352059602737427
40,0.7818812727928162,0.514554500579834,0.7960848212242126,0.5337430834770203
41,0.7841256856918335,0.5095131397247314,0.7969005107879639,0.529106080532074
42,0.7845337390899658,0.5130953788757324,0.7854812145233154,0.5220763087272644
43,0.7835135459899902,0.5046345591545105,0.7854812145233154,0.5213761925697327
44,0.7920832633972168,0.5022386908531189,0.8009787797927856,0.5170156359672546
45,0.7849418520927429,0.5016175508499146,0.8083197474479675,0.5153687000274658
46,0.7892267107963562,0.5026395320892334,0.8058727383613586,0.5119005441665649
47,0.7894307374954224,0.4986225366592407,0.7977161407470703,0.5078596472740173
48,0.7947357892990112,0.49587032198905945,0.7911908626556396,0.5082721710205078
49,0.7914711236953735,0.49544087052345276,0.8058727383613586,0.5019109845161438
