Channel,Mean Acc With,Mean Acc Without,Delta
F4,80.83197388384077,88.90701532363892,-8.075041439798142
FC5,80.42518932085771,83.8938382955698,-3.4686489747120817
AF4,80.4701552941249,83.62404245596666,-3.153887161841766
P8,80.73472197239215,82.0366423863631,-1.3019204139709473
T8,80.7441336222184,81.98017248740562,-1.2360388651872256
F8,80.81419666608174,81.55979422422556,-0.7455975581438139
FC6,80.98883162706326,80.51198445833646,0.4768471687268061
P7,80.99510593292041,80.47433862319359,0.5207673097268213
F7,81.15928387030577,79.48927099888141,1.6700128714243618
T7,81.19902121715056,79.25084691781264,1.9481742993379214
O2,81.20529537017529,79.2132019996643,1.992093370510986
O1,81.23562137285869,79.03124598356393,2.2043753892947535
AF3,81.34019321356064,78.40381493935219,2.936378274208451
F3,80.97698026233249,75.85644125938416,5.120539002948334
