Channel,Mean Acc With,Mean Acc Without,Delta
P8,93.00714906973717,93.51928188250615,-0.5121328127689821
FC6,93.03292746727283,93.36461149729215,-0.3316840300193178
FC5,93.04066116993243,93.3182092813345,-0.27754811140206925
F8,93.04323899440276,93.30274233451256,-0.25950334010980214
O1,93.04495751857758,93.29243118946368,-0.24747367088610872
F7,93.04925394363893,93.2666526390956,-0.2173986954566658
P7,93.084484568009,93.05526889287509,0.0292156751339121
O2,93.09049959366138,93.01917873896085,0.07132085470053084
T7,93.09221804141998,93.00886805240924,0.08334998901074187
AF3,93.09995159124716,92.96246675344614,0.1374848378010256
AF4,93.1025294921337,92.94699934812692,0.15553014400677512
T8,93.16010146568983,92.60156750679016,0.5585339588996732
F3,93.08832267920177,92.35925078392029,0.7290718952814785
F4,93.08906740612454,92.29222536087036,0.7968420452541807
